timestamp,sensor_id,location,temperature_c,humidity_pct,battery_pct,status
2024-01-16 00:00:00,S001,tokyo,9.19,54.02,81.3,OK
2024-01-16 00:00:00,S002,tokyo,8.71,49.69,90.1,OK
2024-01-16 00:00:00,S003,tokyo,9.17,50.68,90.6,OK
2024-01-16 00:10:00,S001,tokyo,5.87,54.29,82.7,OK
2024-01-16 00:10:00,S002,tokyo,7.08,57.17,75.4,OK
2024-01-16 00:10:00,S003,tokyo,8.81,62.1,84.6,OK
2024-01-16 00:20:00,S001,tokyo,8.12,56.61,72.3,OK
2024-01-16 00:20:00,S002,tokyo,8.39,53.85,93.1,OK
2024-01-16 00:20:00,S003,tokyo,9.59,49.65,71.1,OK
2024-01-16 00:30:00,S001,tokyo,6.67,59.37,73.9,OK
2024-01-16 00:30:00,S002,tokyo,7.36,56.25,94.9,OK
2024-01-16 00:30:00,S003,tokyo,8.36,49.59,75.0,OK
2024-01-16 00:40:00,S001,tokyo,6.57,56.18,90.3,OK
2024-01-16 00:40:00,S002,tokyo,8.13,58.24,78.5,OK
2024-01-16 00:40:00,S003,tokyo,7.98,51.73,86.0,OK
2024-01-16 00:50:00,S001,tokyo,7.0,60.08,84.1,OK
2024-01-16 00:50:00,S002,tokyo,8.73,52.53,98.4,OK
2024-01-16 00:50:00,S003,tokyo,9.66,54.67,78.5,OK
2024-01-16 01:00:00,S001,tokyo,6.65,57.48,99.0,OK
2024-01-16 01:00:00,S002,tokyo,9.1,50.08,74.2,OK
2024-01-16 01:00:00,S003,tokyo,8.0,59.3,96.2,OK
2024-01-16 01:10:00,S001,tokyo,7.34,54.53,95.4,OK
2024-01-16 01:10:00,S002,tokyo,8.73,53.02,92.9,OK
2024-01-16 01:10:00,S003,tokyo,7.54,61.45,74.4,OK
2024-01-16 01:20:00,S001,tokyo,4.65,57.78,76.7,OK
2024-01-16 01:20:00,S002,tokyo,6.67,55.84,70.8,OK
2024-01-16 01:20:00,S003,tokyo,9.67,56.16,77.1,OK
2024-01-16 01:30:00,S001,tokyo,9.45,54.9,70.8,OK
