timestamp,sensor_id,location,temperature_c,humidity_pct,battery_pct,status
2024-01-16 00:00:00,S009,fukuoka,13.32,64.74,75.2,OK
2024-01-16 00:00:00,S010,fukuoka,11.93,63.51,81.7,OK
2024-01-16 00:10:00,S009,fukuoka,12.46,62.28,94.5,OK
2024-01-16 00:10:00,S010,fukuoka,12.15,59.67,72.0,OK
2024-01-16 00:20:00,S009,fukuoka,13.25,64.49,88.0,OK
2024-01-16 00:20:00,S010,fukuoka,13.69,61.85,86.1,OK
2024-01-16 00:30:00,S009,fukuoka,15.92,61.65,75.1,OK
2024-01-16 00:30:00,S010,fukuoka,14.96,60.97,99.4,OK
2024-01-16 00:40:00,S009,fukuoka,12.25,57.74,99.2,OK
2024-01-16 00:40:00,S010,fukuoka,12.53,59.47,89.1,OK
2024-01-16 00:50:00,S009,fukuoka,13.98,60.25,95.5,OK
2024-01-16 00:50:00,S010,fukuoka,11.65,62.3,88.3,OK
2024-01-16 01:00:00,S009,fukuoka,11.73,60.5,89.2,OK
2024-01-16 01:00:00,S010,fukuoka,13.22,65.97,99.7,OK
2024-01-16 01:10:00,S009,fukuoka,13.23,66.13,96.9,OK
2024-01-16 01:10:00,S010,fukuoka,12.11,66.58,92.7,OK
2024-01-16 01:20:00,S009,fukuoka,12.62,61.28,81.2,OK
2024-01-16 01:20:00,S010,fukuoka,12.75,63.65,76.1,OK
2024-01-16 01:30:00,S009,fukuoka,16.3,63.6,87.9,OK
2024-01-16 01:30:00,S010,fukuoka,15.32,60.36,79.9,OK
2024-01-16 01:40:00,S009,fukuoka,12.62,66.24,92.8,OK
2024-01-16 01:40:00,S010,fukuoka,8.9,60.92,89.4,OK
2024-01-16 01:50:00,S009,fukuoka,12.92,62.64,95.4,OK
2024-01-16 01:50:00,S010,fukuoka,12.45,63.95,86.2,OK
2024-01-16 02:00:00,S009,fukuoka,14.85,59.54,77.5,OK
2024-01-16 02:00:00,S010,fukuoka,12.08,57.58,88.2,OK
2024-01-16 02:10:00,S009,fukuoka,12.03,63.79,83.3,OK
2024-01-16 02:10:00,S010,fukuoka,16.03,62.23,72.1,OK
2024-01-16 02:20:00,S009,fukuoka,13.75,65.98,74.2,OK
2024-01-16 02:20:00,S010,fukuoka,13.19,63.26,87.8,OK
2024-01-16 02:30:00,S009,fukuoka,14.7,55.93,77.1,OK
2024-01-16 02:30:00,S010,fukuoka,15.13,64.27,79.3,OK
2024-01-16 02:40:00,S009,fukuoka,12.8,59.79,75.3,OK
2024-01-16 02:40:00,S010,fukuoka,13.01,64.46,83.4,OK
2024-01-16 02:50:00,S009,fukuoka,12.21,60.2,93.4,OK
2024-01-16 02:50:00,S010,fukuoka,16.52,65.88,81.9,OK
2024-01-16 03:00:00,S009,fukuoka,13.8,64.81,85.2,OK
2024-01-16 03:00:00,S010,fukuoka,12.76,56.95,94.6,OK
2024-01-16 03:10:00,S009,fukuoka,13.08,61.42,81.4,OK
2024-01-16 03:10:00,S010,fukuoka,14.54,57.98,97.6,OK
2024-01-16 03:20:00,S009,fukuoka,12.29,61.03,91.8,OK
2024-01-16 03:20:00,S010,fukuoka,12.92,65.35,83.6,OK
2024-01-16 03:30:00,S009,fukuoka,11.55,64.89,72.2,OK
2024-01-16 03:30:00,S010,fukuoka,14.1,64.56,74.6,OK
2024-01-16 03:40:00,S009,fukuoka,13.09,62.45,85.0,OK
2024-01-16 03:40:00,S010,fukuoka,12.73,58.55,97.8,OK
2024-01-16 03:50:00,S009,fukuoka,16.7,59.08,81.2,OK
2024-01-16 03:50:00,S010,fukuoka,10.86,62.28,87.6,OK
2024-01-16 04:00:00,S009,fukuoka,12.65,62.46,97.6,OK
2024-01-16 04:00:00,S010,fukuoka,11.55,64.57,75.8,OK
2024-01-16 04:10:00,S009,fukuoka,11.94,62.9,97.4,OK
2024-01-16 04:10:00,S010,fukuoka,12.69,58.47,84.7,OK
2024-01-16 04:20:00,S009,fukuoka,12.13,57.71,89.5,OK
2024-01-16 04:20:00,S010,fukuoka,15.19,59.82,77.3,OK
2024-01-16 04:30:00,S009,fukuoka,15.68,63.18,88.9,OK
2024-01-16 04:30:00,S010,fukuoka,11.97,57.85,89.4,OK
2024-01-16 04:40:00,S009,fukuoka,12.88,65.3,90.4,OK
